domain_id,domain,representative_test,regime,status,result,caveat,sources
VD-01,Renormalizable Standard Model field content,"Gauge-boson, charged-lepton, quark and Higgs spectrum; three active light neutrino species",eV to multi-TeV,VERIFIED DOMAIN,All established collider states fit the SU(3)_C x SU(2)_L x U(1)_Y representation pattern; no confirmed extra elementary state,"This verifies a low-energy representation pattern, not uniqueness or completeness",SRC-PDG-2026
VD-02,Higgs sector,Pole mass and production/decay couplings,m_H about 125 GeV,VERIFIED DOMAIN,ATLAS combined mass m_H = 125.11 +/- 0.11 GeV; measured couplings are SM-like within present precision,Self-coupling and total width remain much less precise than the mass,SRC-ATLAS-H-2023;SRC-PDG-2026
VD-03,Electroweak precision,"W and Z observables, neutral currents, loop-sensitive global fits",MeV to TeV,VERIFIED WITH WATCHLIST,ATLAS m_W = 80366.5 +/- 15.9 MeV is compatible with electroweak fits,"CDF II reports a significantly higher value; this is an inter-experiment tension, not a settled SM failure",SRC-ATLAS-W-2024;SRC-CDF-W-2022;SRC-PDG-2026
VD-04,QCD,"Running coupling, jets, heavy flavours, hadron spectrum and lattice observables",Lambda_QCD to multi-TeV,VERIFIED DOMAIN,Asymptotic freedom and perturbative factorization succeed at high scales; nonperturbative QCD reproduces extensive hadron and thermodynamic data,Confinement is not derived by a complete analytic theorem in four-dimensional continuum Yang-Mills,SRC-PDG-2026
VD-05,Flavour and CP violation,"CKM structure, neutral-meson mixing, rare decays and quark-sector CP violation",MeV to TeV,VERIFIED DOMAIN WITH LOCAL TENSIONS,A single CKM phase organizes a large body of flavour data,"First-row CKM, selected semileptonic observables and hadronic inputs remain precision watchpoints; flavour parameters are fitted, not explained",SRC-PDG-2026
VD-06,Neutrino sector,Oscillation phases and direct beta-endpoint mass,sub-eV to GeV baselines/energies,EXTENSION REQUIRED,Oscillations establish nonzero mass splittings and mixing; KATRIN gives m_beta < 0.45 eV (90% CL),The renormalizable SM without right-handed neutrinos predicts massless neutrinos; the mass origin and Dirac/Majorana character remain open,SRC-PDG-2026;SRC-KATRIN-2025;SRC-WEINBERG-OP-1979
VD-07,Weak equivalence principle,Differential free fall of Ti and Pt,Earth orbit; macroscopic bodies,VERIFIED DOMAIN,"MICROSCOPE finds eta(Ti,Pt) = [-1.5 +/- 2.3(stat) +/- 1.5(syst)] x 10^-15",The bound is composition- and range-dependent for particular new fields,SRC-MICROSCOPE-2022
VD-08,Relativistic binary dynamics,Post-Keplerian timing and orbital damping in the double pulsar,Strong self-gravity; v/c about 10^-3,VERIFIED DOMAIN,Multiple strong-field effects agree with GR; quadrupolar radiation damping is tested at roughly 1.3 x 10^-4,This does not probe Planck curvature or all strong-field alternatives,SRC-DOUBLE-PULSAR-2021;SRC-WILL-2014
VD-09,Gravitational waves,"Generation, propagation, polarization and merger/ringdown consistency",10-1000 Hz; compact binaries,VERIFIED DOMAIN,GWTC-4.0 parameterized tests find no evidence beyond GR; m_g <= 1.92 x 10^-23 eV/c^2 at 90% credibility,Waveform systematics and model flexibility remain part of every precision test,SRC-GWTC4-GR-2026
VD-10,Black-hole exterior phenomenology,Horizon-scale imaging and compact-object surface constraints,supermassive black holes,VERIFIED DOMAIN,EHT and GW observations are consistent with compact objects described by GR black-hole exteriors,Observations do not prove the classical interior or singularity structure,SRC-EHT-SGRA-2023;SRC-GWTC4-GR-2026
VD-11,Homogeneous cosmological background and CMB,CMB TT/TE/EE+lensing under flat six-parameter LambdaCDM,z about 1100 to today,SUCCESSFUL PARAMETRIZATION,"Planck finds H0 = 67.4 +/- 0.5 km/s/Mpc, Omega_m = 0.315 +/- 0.007 and n_s = 0.965 +/- 0.004 in base LambdaCDM","The fit depends on the model, initial perturbation ansatz and recombination/foreground systematics",SRC-PLANCK-2018
VD-12,Large-scale distance ladder and BAO,"BAO, supernova distances and local distance ladder",z about 0 to 4,SUCCESSFUL BASELINE WITH TENSIONS,DESI DR2 BAO is well described by flat LambdaCDM but combined datasets give model- and supernova-sample-dependent preference for evolving dark energy,A preference under an extended parametrization is not an established new component,SRC-DESI-DR2-2025;SRC-RIESS-2022;SRC-PLANCK-2018
VD-13,Primordial perturbations,Nearly scale-invariant adiabatic scalar spectrum and tensor searches,inflationary/comoving cosmological scales,SUCCESSFUL PARAMETRIZATION,CMB data support a near-power-law scalar spectrum; BK18 gives r_0.05 < 0.036 (95% CL),No unique inflationary field content or alternative mechanism has been selected,SRC-PLANCK-2018;SRC-BICEP-2021
VD-14,Dark matter phenomenology,CMB/structure/lensing abundance plus direct nuclear recoil searches,galactic to cosmological; keV to TeV candidates,"EMPIRICAL COMPONENT, MICROPHYSICS OPEN",A non-baryonic gravitating component is required in the standard cosmological fit; LZ finds no WIMP excess in 4.2 tonne-years,"Null WIMP searches exclude models, not the astrophysical evidence for missing gravitating matter",SRC-PLANCK-2018;SRC-BULLET-2006;SRC-LZ-2024
