claim_id,claim,status,basis,limitation_or_next_test
C1,"The exact microscopic action remains Z6 symmetric during selector evolution",PASS,"Every selector, reheaton, threshold, gauge and matter coupling appears in a complete cyclic orbit","Requires an anomaly-free regulator and ultimately a discrete-gauge UV completion"
C2,"A fixed asymmetric state can generate p=1,...,5 harmonics without generating a hard vacuum spurion",PASS,"Closed-time-path covariance moves the Z6 transformation between background fields and the density matrix","State harmonics are physical only while the corresponding occupations or condensates persist"
C3,"No connected two-loop 1PI graph contains both Q0 and a in the displayed v0.9 interaction graph",PASS,"Two-loop topology audit: Q-R and R-H skeletons are a-independent; the a-dependent skeleton is Psi-gluon exchange","The first mixed order is portal-content dependent and must be audited at three loops and beyond"
C4,"Vacuum p=1,...,5 harmonics cancel through two loops",PASS,"Identical sector vacuum functionals obey the root-of-unity projector; symbolic and numerical Fourier checks pass","Fails if sector renormalization environments differ or a hard asymmetric coupling is introduced"
C5,"The first vacuum harmonic remains p=6 and begins at O(epsilon^6)",PASS CONDITIONAL,"Exact Z6 plus analyticity and epsilon as the only shift-breaking spurion","Requires phase sequestering; exact Z6 alone permits Q-charged transient operators"
C6,"Every two-loop lower harmonic contains a selector/background spurion or a statistical-state insertion",PASS,"Vacuum/state decomposition of the CTP propagators and the topology audit","Assumes no stable sector-charged vacuum condensate"
C7,"Bulk UV counterterms are the same Z6-symmetric counterterms as in vacuum",PASS CONDITIONAL,"UV-soft/Hadamard state insertions fall at high momentum; initial-state divergences are boundary localized","A non-Hadamard state requires explicit initial-surface counterterms"
C8,"The asymmetric thermal harmonic decays rather than becoming a late Wilson coefficient",PASS,"Exact Fermi-Dirac scalar-density integral redshifts and Boltzmann suppresses the state term by >10^138 in the benchmark scan","A stable relic population would leave a finite-density term, still not a vacuum term"
C9,"Two-loop QCD corrections preserve the reheating-selected phase",PASS,"NLO massive-quark pressure changes the phasor amplitude by 6.19% and the phase by only -0.00984 degrees at mu=2piT","High-temperature expansion and one-loop alpha_s running; full real-time resummation remains"
C10,"A gapped retarded kernel loses memory of the transient selector",PASS CONDITIONAL,"Spectral representation and numerical dephasing test give late/early RMS 1.76e-6","A zero-frequency pole, conserved charge or stable condensate can preserve memory"
C11,"Asymmetry in the state, symmetry in the action is a genuine two-loop radiative escape hatch",PASS CONDITIONAL,"C1-C10 together exclude a permanent lower-harmonic bulk coefficient through two loops","Not yet an all-orders theorem and not yet a nonperturbative preheating calculation"
C12,"The existing 2/27 visible-QCD transmission coefficient is unaffected by this audit",PASS,"The state-selected reheating sector does not alter the visible heavy-threshold decoupling chain","Higher-order ordinary QCD threshold corrections remain calculable"
C13,"The selector/reheaton chronology is parametrically separated",PASS,"Only 1.40% of R0 decays within one selector lifetime; 0.141% if Gamma_Q=10 GeV","Needs a non-equilibrium simulation of the actual rolling selector rather than exponential ansatz"
C14,"Exact Z6 by itself is sufficient to protect against every selector-induced low harmonic",FAIL,"Z6 permits operators e^{ipx} Q_{-p}; they are transient but allowed","Add continuous shift-spurion sequestering or a Wilson-line/collective-pNGB completion"
C15,"The complete UV theory has been proven radiatively safe to all orders",OPEN,"Two-loop CTP audit is positive","Prove an all-orders sequestering theorem and calculate the first nonzero mixed selector-threshold matching order"
C16,"Nonperturbative production leaves sectors 1-4 empty",OPEN,"Perturbative kinematic isolation supports it","Requires lattice preheating or Kadanoff-Baym evolution with the full selector/reheaton system"
