Target,Acceptance condition,Status,Scope/comment
Exact generic topology ledger,11 rows; no duplicate/missing topology; L=I-V+1,PASS,Frozen for pilot
Vertex/species catalogue,All declared unbroken-phase families mapped,PASS,Group indices generated by superfield tensors
Clifford basis,Rank 16,PASS,Complete complex Dirac space
Fermion-gauge transverse basis,Rank >=48; residual <1e-12,PASS,rank 48; residual 1.556e-17
Scalar/ghost transverse basis,Rank 3,PASS,Generic nonzero momentum
Chiral Yukawa basis,Rank 4 per orientation,PASS,Projector-reduced complete space
Three-gauge transverse basis,Rank >=27; residual <1e-12,PASS,rank 27; residual 4.445e-16
Counterterm closure basis,All 32 signatures mapped,PASS,"Power-counting/symmetry closure, not all-order theorem"
Initial-state closure,alpha2/3/4 plus UV-soft condition,PASS,Abrupt quench forbidden
Analytic benchmarks,All gates,PASS,5/5 groups
Inherited v1.8 gates,Six checks,PASS,Matching/STI/BSE regression
Observable/error contract,Complete,PASS,Hard failures excluded from error budget
Automated preflight,12/12,PASS,preflight_report_v1_9.json
Unit tests,10/10,PASS,pytest_output_v1_9.txt
All-order non-Abelian 3PI renormalizability,Formal theorem,NOT CLAIMED,Cutoff and identity scans required
Long-time gauge consistency,Ward/ST/Nielsen and singlet stability,PILOT GATE,Core pilot question
