Requirement,Core model status,Core-model evidence,Turok-36 acceptance requirement,Remaining work
Renormalised 3+1D matter theory,PASS,"Two-derivative G_SM x SU(2)_X gauge-scalar theory; dimension <=4 matter operators; nonminimal and curvature counterterms included","Derive a closed renormalised observable algebra for the interacting fourth-order sector","Two-loop RG and threshold matching"
Generated universal field chi,PASS,"Coleman-Weinberg minimum with f=<chi> and positive radial curvature","Exhibit a regulator-independent invariant composite mass gap or condensate","Nonperturbative confirmation if using strong dynamics"
Electroweak lock h/chi,PASS,"Portal valley h^2=(lambda_p/lambda_H) chi^2","Match the 36-field singlet to the same portal operator without negative-residue mixing","RG stability and hierarchy selection"
Planck lock M_P/chi,PASS as EFT,"F=xi_chi chi^2+xi_H h^2 gives M_P^2=xi_eff f^2","Produce a positive Einstein-Hilbert coefficient and a healthy scalar-gravity spectrum","No UV-complete unitary quantum gravity established"
QCD lock Lambda_QCD/chi,PARTIAL,"Local-RG/dilatation Ward identity and matching scale mu=kappa chi","Show all dimensionless boundary data and thresholds are locked in the microscopic theory","All-orders anomaly and threshold proof"
Healthy physical Higgs,PASS at benchmark,"Positive scalar eigenvalues; mixing about 6.0e-46","Positive pole residue in mixed Higgs-composite correlator","Full RG-improved vacuum lifetime"
Lorentzian unitarity,PASS for core matter,"Conventional gauge theory; BRST physical subspace; positive kinetic signs","Prove the optical theorem with a positive physical-state sum at loops and after SM/gravity coupling","Independent verification of Krein-space claims"
Positive spectral density,PASS requirement for core invariant operators,"Gauge-invariant O_chi must admit rho(s)>=0; perturbative/FMS and lattice route available","Find an invariant composite with positive spectral density or an equally strong reconstruction theorem","Lattice reflection-positivity study"
Stable condensate,PASS locally/CONDITIONAL globally,"V_eff'(f)=0; V_eff''(f)>0; positive Z in core theory","Continuum nonzero VEV or mass gap; convex effective action; real dispersion; long lifetime","Multi-loop bounce and finite-volume scaling"
Acceptable matter coupling,PASS in exact lock,"Einstein-frame m_A^E is chi-independent; alpha_A-alpha_B equals clock-shear derivative","No linear macroscopic confinement; no composition dependence; no negative mixed pole","Quantitative EP/clock/static-potential calculation"
Clock constraints,PASS in exact lock,"d ln(omega_A/omega_B)=0","Predict clock sensitivity matrix from invariant composite couplings","Include electronic hyperfine molecular and nuclear clocks"
Collider constraints,PASS at benchmark,"Hidden masses near 1e16-1e18 GeV and negligible Higgs mixing","No visible negative-residue or nonlocal amplitude; acceptable Higgs portal corrections","Explore lower-scale falsifiable benchmarks"
Cosmology,CONDITIONAL,"Possible if breaking occurs early; H_inf and T_R below heavy scales; no hidden repopulation","Stable curved-background quantisation and controlled initial state","Inflation/reheating/isocurvature/relic calculation"
Cosmological constant,OPEN,"Vacuum energy is tuned in current EFT","A separate radiatively stable mechanism is required","Not solved by scale locking"
Novel dimensionless prediction,OPEN beyond exact shear,"Exact lock predicts rank-zero clock-ratio variation and alpha_A-alpha_B=0","Derive controlled nonzero relation from leading lock-breaking operator","Find a model-specific clock/EP/collider consistency relation"
