key,authors,title,year,identifier,role_in_project,metadata_provenance
EPS1972,J. Ehlers; F. A. E. Pirani; A. Schild,The geometry of free fall and light propagation,1972,GRG reprint 2012,Foundations; conformal/projective reconstruction,project bibliography
HKM1976,S. W. Hawking; A. R. King; P. J. McCarthy,"A new topology for curved space-time which incorporates the causal, differential, and conformal structures",1976,"J. Math. Phys. 17, 174",Causal reconstruction,project bibliography
Malament1977,D. B. Malament,The class of continuous timelike curves determines the topology of spacetime,1977,"J. Math. Phys. 18, 1399",Causal reconstruction,project bibliography
Braun2025,M. Braun,Spacetime reconstruction by order and number,2025,arXiv:2507.01907,Order and scale reconstruction,project bibliography
Gourgoulhon2006,E. Gourgoulhon; J. L. Jaramillo,A 3+1 perspective on null hypersurfaces and isolated horizons,2006,arXiv:gr-qc/0503113,Null geometry,project bibliography
Horvath2006,Z. Horvath; Z. Kovacs; L. A. Gergely,"Geometrodynamics in a spherically symmetric, static crossflow of null dust",2006,arXiv:gr-qc/0605116,Cross-null internal time,project bibliography
Mimetic2013,A. H. Chamseddine; V. Mukhanov,Mimetic Dark Matter,2013,arXiv:1308.5410,Mimetic map and novelty boundary,project bibliography
Superfluid2015,Alexander Haber; Andreas Schmitt; Stephan Stetina,Instabilities in relativistic two-component (super)fluids,2015,arXiv:1510.01982,Two-phase master-function precedent,arXiv metadata verified during consolidation
Adams2006,A. Adams; N. Arkani-Hamed; S. Dubovsky; A. Nicolis; R. Rattazzi,"Causality, analyticity and an IR obstruction to UV completion",2006,arXiv:hep-th/0602178,EFT positivity,project bibliography
ScaleClock2014,Lorenzo Fatibene; Simon Garruto; Maurizio Polistina,Breaking the Conformal Gauge by Fixing Time Protocols,2014,arXiv:1410.1284,Clock selection of conformal representative,arXiv metadata verified during consolidation
GrossNeveu2026,Parameshwar R. Pasnoori,Time-Dependent Dynamical Dimensional Transmutation in the SU(2) Gross-Neveu Model with Time-Dependent Interaction Strength,2026,arXiv:2605.05111,Time-dependent dimensional-transmutation proof of principle,arXiv metadata verified during consolidation
ScaleSymmetry2020,Ichiro Oda,Planck scale from broken local conformal invariance in Weyl geometry,2020,arXiv:2003.12256,Dynamical scale generation,arXiv metadata verified during consolidation
HiddenScale2014,Martin B. Einhorn; D. R. Timothy Jones,Naturalness and Dimensional Transmutation in Classically Scale-Invariant Gravity,2014,arXiv:1410.8513,Four-dimensional dimensional-transmutation context,arXiv metadata verified during consolidation
Shaposhnikov2009,M. Shaposhnikov; D. Zenhausern,"Scale invariance, unimodular gravity and dark energy",2009,arXiv:0809.3395,Higgs-dilaton completion,project bibliography
Foot2007,R. Foot; A. Kobakhidze; K. L. McDonald; R. R. Volkas,A solution to the hierarchy problem from an almost decoupled hidden sector within a classically scale invariant theory,2007,arXiv:0709.2750,Hidden-sector scale generation,project bibliography
Atkins2012,M. Atkins; X. Calmet,Bounds on the nonminimal coupling of the Higgs boson to gravity,2012,arXiv:1211.0281,Higgs-only induced-gravity obstruction,project bibliography
WeylHiggs2018,D. M. Ghilencea; Hyun Min Lee,Weyl gauge symmetry and its spontaneous breaking in Standard Model and inflation,2018,arXiv:1809.09174,Higgs degree-of-freedom issue,arXiv metadata verified during consolidation
CurvedSM2018,Tommi Markkanen; Sami Nurmi; Arttu Rajantie; Stephen Stopyra,The 1-loop effective potential for the Standard Model in curved spacetime,2018,arXiv:1804.02020,Curved-space counterterms and vacuum stability,arXiv metadata verified during consolidation
HiddenSU22013,Christopher D. Carone; Raymundo Ramos,"Classical scale-invariance, the electroweak scale and vector dark matter",2013,arXiv:1307.8428,Classically scale-invariant hidden non-Abelian gauge sector with Coleman-Weinberg breaking and Higgs portal,web-verified; working-note author/title attribution corrected
ScaleFifthForce2016,Pedro G. Ferreira; Christopher T. Hill; Graham G. Ross,No fifth force in a scale invariant universe,2016,arXiv:1612.03157,Universal radial-mode decoupling,arXiv metadata verified during consolidation
ScaleFifthForce2021,Edmund J. Copeland; Peter Millington; Sergio Sevillano Muñoz,Fifth forces and broken scale symmetries in the Jordan frame,2021,arXiv:2111.06357,Explicit-breaking control of fifth forces,arXiv metadata verified during consolidation
BoyleTurok2022,L. Boyle; N. Turok,Cancelling the vacuum energy and Weyl anomaly in the standard model with dimension-zero scalar fields,2022,arXiv:2110.06258,Turok 36-field proposal,project bibliography
ClineHell2026,J. M. Cline; A. Hell,Pathologies of dimension-zero scalar fields,2026,arXiv:2603.05683,Critical assessment of fourth-order scalar sector,web-verified arXiv metadata
BatemanTurok2026,S. Bateman; N. Turok,Escape from Ostrogradsky via Hidden Ghost Parity,2026,arXiv:2607.00096,Krein-space/ghost-parity proposal,web-verified arXiv metadata
ScaleInvariantDR2013,Carlos Tamarit,Running couplings with a vanishing scale anomaly,2013,arXiv:1309.0913,Scale-invariant running and QCD-lock prescription,arXiv metadata verified during consolidation
Chetyrkin1997,K. G. Chetyrkin; B. A. Kniehl; M. Steinhauser,Decoupling relations to O(alpha_s^3) and their connection to low-energy theorems,1997,arXiv:hep-ph/9708255,QCD threshold matching,project bibliography
DamourDonoghue2010,T. Damour; J. F. Donoghue,Equivalence principle violations and couplings of a light dilaton,2010,arXiv:1007.2792,Composition-dependent charges,project bibliography
MICROSCOPE2022,Pierre Touboul et al.,MICROSCOPE mission: final results of the test of the Equivalence Principle,2022,arXiv:2209.15487,Equivalence-principle bound,arXiv metadata verified during consolidation
ClockData2023,Nathaniel Sherrill et al.,Analysis of atomic-clock data to constrain variations of fundamental constants,2023,arXiv:2302.04565,Clock response analysis,arXiv metadata verified during consolidation
ClockReview2025,A. Kawasaki,Quantum sensing using atomic clocks for nuclear and particle physics,2025,arXiv:2411.19424,Clock sensitivity review,project bibliography
Clock2026,Alexander Aeppli et al.,Atomic clock frequency ratios with fractional uncertainty <= 3.2 x 10^-18,2025,arXiv:2512.21428,Current clock benchmark cited by project,arXiv metadata verified during consolidation
Thorium2026,L. Toscani De Col et al.,A thorium-229 optical nuclear clock with feedback loop,2026,arXiv:2606.04997,Thorium clock implementation,arXiv metadata verified during consolidation
DasHook2020,S. Das; A. Hook,Non-linearly realized discrete symmetries,2020,arXiv:2006.10767,Cyclic Goldstone protection,project bibliography
Brzeminski2020,D. Brzeminski; Z. Chacko; A. Dev; A. Hook,A Time-Varying Fine Structure Constant from Naturally Ultralight Dark Matter,2020,arXiv:2012.02787,Replicated-sector ultralight field precedent,project bibliography
DiLuzio2021,L. Di Luzio; B. Gavela; P. Quilez; A. Ringwald,An even lighter QCD axion,2021,arXiv:2102.00012,Cyclic axion protection precedent,project bibliography
Delaunay2026,C. Delaunay; S. J. Lee; Y. Yin; B. Yu,Natural Phantom Crossing from Axion-WIMP Interactions,2026,arXiv:2607.28721,State-dependent finite-density potential and hard-spurion warning,web-verified arXiv metadata
Hor2026,S. Hor; Y. Nakai; M. Suzuki; J. Xu,Deconstructing the Extra-Dimensional Axion,2026,arXiv:2606.02728,Wilson-line/deconstruction quality completion,web-verified arXiv metadata
Chameleon2008,Takashi Tamaki; Shinji Tsujikawa,Revisiting chameleon gravity - thin-shells and no-shells with appropriate boundary conditions,2008,arXiv:0808.2284,Environmental screening diagnostic,arXiv metadata verified during consolidation
FiniteDensity2024,Omar F. Ramadan; Jeremy Sakstein; Djuna Croon,Cosmology and Astrophysics of CP-Violating Axions,2024,arXiv:2408.02294,Matter-induced finite-density phase shifts,arXiv metadata verified during consolidation
Borsanyi2016,Sz. Borsanyi et al.,Lattice QCD for Cosmology,2016,arXiv:1606.07494,QCD trace anomaly,arXiv metadata verified during consolidation
GoldsteinHill2026,S. Goldstein; J. C. Hill,"A 2% determination of N_eff from primordial element abundance, CMB and BAO measurements",2026,arXiv:2603.13226,Dark-radiation bound,project bibliography
Arakawa2026,Jason Arakawa et al.,Probing Ultralight Dark Matter at the Mega-Planck Scale with the Thorium Nuclear Clock,2026,arXiv:2602.16804,Provisional strong-sector clock sensitivities,arXiv metadata verified during consolidation
