id,loop_order,piece,coefficient_minkowski,monomial,topology,internal_lines,vertices,dynamical_vertices,bare_vertices,statistics,source,assignment_rule,notes,loop_check,loop_check_pass
G20_B4_BARE,2,Gamma2_0,-1/8,D^2 V4_0,bosonic double-bubble/seagull,2,1,,V4_0,bosonic,Berges 2004 review Eq. (365),"Any allowed bare bosonic quartic: A^4, A^2 H^dagger H, (H^dagger H)^2.",Couplings and all species/group indices are contained in V4_0.,2,True
G20_B33_MIX,2,Gamma2_0,+i/6,D^3 V3 V3_0,bosonic sunset with one dressed and one bare cubic vertex,3,2,V3,V3_0,bosonic,Berges 2004 review Eq. (365),"Any compatible bosonic cubic pair: A^3, A H^dagger H, and mixed species assignments generated by the superfield vertex tensor.",The 1/6 is the exact generic tensor symmetry coefficient.,2,True
G20_F3_MIX,2,Gamma2_0,-i,D Delta^2 U U_0,Grassmann sunset with one dressed and one bare boson-Grassmann vertex,3,2,U,U_0,closed Grassmann loop,Berges hep-ph/0401172 Eq. (5.2); review Fig. 20 and Eq. (365),"Gauge-ghost, gauge-fermion, or Yukawa H-Q-D channel; species matrix multiplication enforces compatibility.",The closed-loop minus sign is included in the coefficient convention.,2,True
G30_B44_MIX,3,Gamma2_0,+i/24,D^4 V4 V4_0,bosonic basketball with one dressed and one bare quartic vertex,4,2,V4,V4_0,bosonic,Berges 2004 review Eq. (365),All compatible quartic pairs. In the three-loop 3PI stationary theory V4 is set to V4_0.,Retained algebraically so functional differentiation and cancellation against Gamma2_int are explicit.,3,True
G30_B334,3,Gamma2_0,+1/8,D^5 V3^2 V4_0,bosonic squint with two dressed cubics and one bare quartic,5,3,"V3,V3",V4_0,bosonic,Berges 2004 review Eq. (365),All compatible bosonic superfield assignments.,Generates one-loop-dressed vertex and two-loop self-energy contributions on differentiation.,3,True
G2I_B33,2,Gamma2_int,-i/12,D^3 V3^2,bosonic sunset with two dressed cubic vertices,3,2,"V3,V3",,bosonic,Berges 2004 review Eq. (366),All compatible bosonic cubic pairs.,Exact generic three-loop-3PI functional coefficient.,2,True
G2I_F3,2,Gamma2_int,+i/2,D Delta^2 U^2,Grassmann sunset with two dressed vertices,3,2,"U,U",,closed Grassmann loop,Berges hep-ph/0401172 Eq. (5.3a); review Eq. (366),"Gauge-ghost, gauge-fermion, or Yukawa channel.","For the H-Q-D channel, weak-doublet and color multiplicities are applied by the vertex tensor, not by changing this factor.",2,True
G3I_B44,3,Gamma2_int,-i/48,D^4 V4^2,bosonic basketball with two dressed quartics,4,2,"V4,V4",,bosonic,Berges 2004 review Eq. (366),All compatible bosonic quartic pairs; V4=V4_0 at the three-loop stationary point.,Kept in the ledger to preserve the exact Legendre-transform bookkeeping.,3,True
G3I_B3333,3,Gamma2_int,-i/24,D^6 V3^4,bosonic tetrahedron/Mercedes with four dressed cubic vertices,6,4,"V3,V3,V3,V3",,bosonic,Berges 2004 review Eq. (366),All compatible cubic-boson assignments.,This topology makes the dynamical three-point equation self-consistent at three-loop 3PI.,3,True
G3I_FFFB,3,Gamma2_int,+i/3,D^3 Delta^3 U^3 V3,Grassmann triangle joined to a dressed bosonic cubic vertex,6,4,"U,U,U,V3",,closed Grassmann loop,"Berges 2004 review Eq. (366), Fig. 22",Non-Abelian gauge-fermion or gauge-ghost triangle; other assignments only when species flow and a compatible bosonic cubic exist.,Absent in QED but present for SU(3) and SU(2).,3,True
G3I_FFFF,3,Gamma2_int,+i/4,D^2 Delta^4 U^4,Grassmann box with four dressed boson-Grassmann vertices,6,4,"U,U,U,U",,closed Grassmann loop,Berges hep-ph/0401172 Eq. (5.3b); review Eq. (366),"Gauge, ghost, Yukawa, and compatible mixed channel sequences generated by species-matrix multiplication.",Contains the box/ladder seed required by leading kinetic and LPM physics.,3,True
