test_id,tier,universality,requirement,operational_test,pass_condition,fatal,sources
ALG-01,algebraic,UNIVERSAL,Well-defined theory tuple and observable map,"Specify X, fields, symmetries, dynamics, observables and initial/boundary data; every symbol and domain is typed.",No indispensable undefined object; observables are gauge/diffeomorphism invariant or tied to a declared operational prescription.,True,
ALG-02,algebraic,UNIVERSAL,Closure of covariance and gauge symmetries,Compute commutators/BRST nilpotency or constraint generators and verify closure on the stated field space.,Algebra closes without field-dependent inconsistency; reducibility and boundary charges are declared.,True,
ALG-03,algebraic,UNIVERSAL FOR CHIRAL GAUGE THEORIES,Local anomaly cancellation,"Evaluate SU(3)^3, SU(3)^2U(1), SU(2)^2U(1), U(1)^3 and grav^2 U(1) coefficients in a left-handed basis.",All gauged local anomaly coefficients vanish or are cancelled by a fully specified mechanism.,True,SRC-PDG-2026
ALG-04,algebraic,UNIVERSAL FOR RELEVANT GLOBAL GAUGE STRUCTURES,Global anomaly cancellation,Check Witten SU(2) parity and any cobordism/global anomaly appropriate to the global gauge group and spacetime structure.,Path integral/physical state space is globally gauge invariant.,True,SRC-WITTEN-1982
ALG-05,algebraic,UNIVERSAL,Physical degree-of-freedom count,"Hamiltonian/BRST analysis separating constraints, gauge modes and propagating modes around each claimed background.",No hidden negative-norm or overconstrained sector; low-energy spectrum contains the required 2 graviton helicities and SM states.,True,
ALG-06,algebraic,UNIVERSAL FOR GENERALLY COVARIANT THEORIES,Constraint algebra and boundary consistency,Compute Poisson/Dirac brackets and surface terms; verify propagation of constraints.,First-/second-class structure is consistent and boundary conditions make generators differentiable.,True,
PERT-01,perturbative,UNIVERSAL,"No ghosts, tachyons or gradient instabilities in claimed domain",Diagonalize the quadratic action and principal symbol on every phenomenologically relevant background.,"Positive residues/kinetic matrix, real nonnegative frequencies where stability is claimed, and no unremoved Ostrogradsky mode.",True,
PERT-02,perturbative,UNIVERSAL,Hyperbolicity and well-posed initial value problem,Determine characteristic polynomial/cones and prove or numerically demonstrate strong hyperbolicity with constraints.,"Existence, uniqueness and continuous dependence for admissible initial data.",True,
PERT-03,perturbative,UNIVERSAL QUANTUM,Unitarity or positive physical spectral density,"Optical theorem/cutting checks, Kallen-Lehmann positivity for gauge-invariant observables, and pole-residue tests.",No negative probability in physical Hilbert space within EFT validity.,True,
PERT-04,perturbative,UNIVERSAL,Causality and acceptable characteristic cones,"Compare matter/gravity characteristic cones, analyticity/dispersion relations and front velocities.",No causal loops or experimentally excluded superluminal/preferred-frame signal in the stated domain.,True,SRC-PDG-2026;SRC-WILL-2014
PERT-05,perturbative,UNIVERSAL,Radiative stability and EFT closure,List counterterms/operators generated by loops; run RG and threshold matching; state cutoff and truncation error.,Predictions close under renormalization/Wilsonian expansion to declared accuracy.,True,SRC-DONOGHUE-1994;SRC-SMEFT-2010
REC-01,recovery,UNIVERSAL,Einstein equations in the classical weak-curvature limit,Take hbar -> 0 and E/M_UV -> 0; derive G_mn + Lambda g_mn = Mbar_P^-2 T_mn plus bounded corrections.,"Corrections satisfy all relevant solar-system, pulsar and GW bounds and decouple continuously.",True,SRC-WILL-2014;SRC-MICROSCOPE-2022;SRC-DOUBLE-PULSAR-2021;SRC-GWTC4-GR-2026
REC-02,recovery,UNIVERSAL,Standard Model gauge representations and interactions,"Derive the low-energy chiral multiplets, hypercharges Q=T3+Y, gauge couplings and Higgs mechanism.",No missing/extra light charged state and correct electric/color charges to experimental precision.,True,SRC-PDG-2026
REC-03,recovery,UNIVERSAL,"Measured particle poles, widths and mixing",Match masses/couplings/CKM/PMNS and uncertainty covariance at a declared renormalization scheme/scale.,Global fit is at least as good as the baseline in its claimed domain.,True,SRC-PDG-2026;SRC-ATLAS-H-2023;SRC-KATRIN-2025
REC-04,recovery,UNIVERSAL,Lorentz invariance and CPT in tested regimes unless explicitly broken,"Map all Lorentz-violating coefficients to current laboratory, astrophysical and GW constraints.",Coefficients remain below applicable bounds; spontaneous breaking includes stable modes and a consistent frame.,True,SRC-PDG-2026;SRC-GWTC4-GR-2026
NP-01,nonperturbative,UNIVERSAL FOR QCD SUCCESSORS,QCD confinement/chiral/hadron limit,"Lattice, bootstrap or controlled analytic calculation of representative spectrum, string tension and chiral observables.",Reproduces established QCD observables and thermodynamics within uncertainties.,True,SRC-PDG-2026
NP-02,nonperturbative,MODEL CLASS CONDITIONAL,Vacuum and topological-sector control,"Compute tunnelling, defects, theta sectors, finite-temperature transitions and vacuum lifetime.",Chosen vacuum is reached and survives cosmological history without excluded relics.,False,SRC-NEDM-2020;SRC-VACUUM-STABILITY-2024
LAB-01,laboratory,UNIVERSAL,Electroweak precision and Higgs compatibility,"Global likelihood including Z pole, m_W, Higgs signal strengths and diboson observables.",No degradation beyond stated confidence and systematics; anomalies are treated with frozen data versions.,True,SRC-PDG-2026;SRC-ATLAS-H-2023;SRC-ATLAS-W-2024
LAB-02,laboratory,UNIVERSAL,"Flavour, CP, rare-process and stability bounds","Compute FCNC, EDMs, meson mixing, charged-lepton flavour violation, proton/nucleon decay.",All predictions within limits and observed CKM/PMNS CP structure recovered.,True,SRC-PDG-2026;SRC-NEDM-2020
LAB-03,laboratory,UNIVERSAL,Equivalence principle and fifth-force bounds,Derive composition-dependent scalar/vector charges and finite-range force law.,MICROSCOPE and terrestrial/clock constraints satisfied for the model range and screening regime.,True,SRC-MICROSCOPE-2022
ASTRO-01,astrophysical,UNIVERSAL,Compact-object structure and binary dynamics,"Solve stellar/black-hole exterior solutions, stability and radiation; compare pulsars and X-ray/GW data.","No excluded dipole radiation, mass-radius, timing or strong-field signature.",True,SRC-DOUBLE-PULSAR-2021;SRC-GWTC4-GR-2026
ASTRO-02,astrophysical,UNIVERSAL,Gravitational-wave generation and propagation,"Compute polarizations, dispersion, inspiral-merger-ringdown and stochastic backgrounds.",Passes catalog-wide tests and model-specific waveform systematics.,True,SRC-GWTC4-GR-2026
ASTRO-03,astrophysical,MODEL CLASS CONDITIONAL,Dark-sector astrophysics,"Halo structure, lensing, cluster mergers, self-interactions, stellar cooling and compact-object capture.","Joint fit across scales, not a single rotation-curve fit.",False,SRC-BULLET-2006;SRC-LZ-2024
COS-01,cosmological,UNIVERSAL,"Radiation era, BBN and recombination","Evolve background and perturbations through thermalization, neutrino decoupling, BBN and atomic recombination.",Light-element abundances and CMB visibility/anisotropies within likelihood constraints.,True,SRC-PDG-2026;SRC-PLANCK-2018
COS-02,cosmological,UNIVERSAL,CMB/BAO/SNe/growth recovery,Run Boltzmann and nonlinear-structure predictions with a frozen data combination.,Likelihood is competitive with base LambdaCDM without hidden parameter/data choices.,True,SRC-PLANCK-2018;SRC-DESI-DR2-2025;SRC-RIESS-2022
COS-03,cosmological,UNIVERSAL,Primordial perturbation origin or explicit initial condition,"Predict A_s, n_s, isocurvature, non-Gaussianity, tensors and reheating/initial-state transfer.",Matches scalar data and r bound; initial-state assumptions are explicit and normalized.,True,SRC-PLANCK-2018;SRC-BICEP-2021
COS-04,cosmological,MODEL CLASS CONDITIONAL,Dark matter abundance or complete alternative,"Compute freeze-out/freeze-in/misalignment/structure history, or modified-gravity substitute across CMB to galaxies.","Reproduces abundance, lensing and growth and passes direct/indirect/production constraints.",False,SRC-PLANCK-2018;SRC-LZ-2024
COS-05,cosmological,UNIVERSAL,Late acceleration,"Predict H(z), distances and growth with stable perturbations and local-gravity limit.",Fits CMB+BAO+SNe+growth at least as well as the declared baseline.,True,SRC-PLANCK-2018;SRC-DESI-DR2-2025
REP-01,reproducibility,UNIVERSAL,Executable and provenance-complete evidence,"Pinned code/environment, tests, machine-readable outputs, source versions and deterministic seeds.",Independent researcher can reproduce every reported number or identify it as sourced input.,True,
