gate_id,tier,applicable,fatal_if_applicable,score,status,scope_and_reason
ALG-01,algebraic,yes,yes,2,PASS,"The parent, fixed-reference operational theory, full zero-mode fields, observables and boundary data are explicitly declared."
ALG-02,algebraic,yes,yes,0,FAIL FOR STRONG REDUCTION,"The full five-dimensional gauge algebra closes, but the nonlinear mode set n=0,+/-1 is not a subalgebra and the fixed Einstein surface is not preserved by the full gauge/BRST flow."
ALG-03,algebraic,no,yes,NA,NOT APPLICABLE,"TP-01 v1.1 contains no chiral matter. Standard Model matter would have to import the TP-00 anomaly gates."
ALG-04,algebraic,yes,yes,1,CONDITIONAL,"The bundle and holonomy conditions are explicit. Integral normalization and the minimal level depend on the global form of the Lorentzian group and allowed bundles."
ALG-05,algebraic,yes,yes,0,FAIL,"A regular Spin(4,2) CS sector has 13 local configuration degrees of freedom, while GR has 2. The first nonzero KK pair adds 26 real modes at quadratic order."
ALG-06,algebraic,yes,yes,0,FAIL FOR STRONG REDUCTION,"The generic parent constraint algebra is consistent in canonical sectors and the boundary generators are differentiable, but fixing the holonomy deletes a gauge-invariant equation and is not a symplectic quotient."
PERT-01,perturbative,yes,yes,0,FAIL ON CLAIMED GR-LIKE VACUUM,"The maximally symmetric CS AdS point has vanishing quadratic kinetic operator. A regular non-AdS witness exists, but it is not a two-helicity Einstein spectrum."
PERT-02,perturbative,yes,yes,0,FAIL ON CLAIMED GR-LIKE VACUUM,"The AdS parent has a rank-zero principal kinetic form; no ordinary strongly hyperbolic graviton problem is defined there."
PERT-03,perturbative,yes,yes,1,OPEN/CONDITIONAL,"No negative-norm result is proved in the generic classical canonical sector, but no quantum positive-spectrum construction is supplied."
PERT-04,perturbative,yes,yes,1,OPEN/CONDITIONAL,"No universal characteristic-cone calculation exists for the background-dependent regular sector; the fixed daughter inherits GR only after non-dynamical restriction."
PERT-05,perturbative,yes,yes,0,FAIL,"No radiative or Wilsonian mechanism makes the omitted zero modes and KK tower decouple while preserving the claimed pure-connection parent."
REC-01,recovery,yes,yes,0,FAIL FOR FULL PARENT,"The fixed MacDowell-Mansouri daughter recovers Einstein-Cartan exactly, but the unrestricted parent neither preserves that surface nor decouples its extra modes."
REC-02,recovery,no,yes,NA,NOT APPLICABLE,"No Standard Model matter construction is claimed."
REC-03,recovery,no,yes,NA,NOT APPLICABLE,"No particle-pole or mixing construction is claimed."
REC-04,recovery,yes,yes,2,PASS LOCALLY,"The parent and daughter are Lorentz/diffeomorphism covariant in the declared local formulations; the failure is dynamical, not explicit Lorentz breaking."
REP-01,reproducibility,yes,yes,2,PASS,"The package contains deterministic code, a numerical regular-sector witness, tests, machine-readable results, sources and a manifest."
