ID,Claim,Status,Mathematical_or_physical_basis,Verification_or_source,Main_caveat,Priority_assessment
C01,"A complete cyclic Z_N orbit cancels all a-dependent Coleman-Weinberg terms below order epsilon^N.",PASS,"Root-of-unity projection and spurion counting; only harmonics qN are symmetry allowed.","Symbolic root-of-unity test; direct numerical Fourier extraction; Das-Hook 2006.10767; Brzeminski et al. 2012.02787.","Requires exact symmetry of the complete action, measure, regulator, and renormalization environment.",ESTABLISHED_MECHANISM
C02,"The leading one-loop potential for N>4 is V = N_c M^4 epsilon^N F_N cos(Na/f_a)/(8 pi^2).",PASS,"Direct expansion of the fermion Coleman-Weinberg determinant.","Numerically checked for N=5,6,8,10; max tested relative remainder 6.43% where epsilon=0.12.","Higher-order O(epsilon) terms and gauge corrections modify the coefficient but not the selection rule.",ESTABLISHED_FORMULA_ADAPTED
C03,"F_N = 24*2^(1-N)/[(N-1)(N-2)(N-3)(N-4)].",PASS,"Exact simplification of the finite binomial sum.","SymPy identity check.","Valid for N>4.",DERIVED_IDENTITY
C04,"Replicated hidden color sectors protect the vacuum while only Psi_0 enters the visible SU(3)_0 beta function.",PASS_CONDITIONAL,"Each Psi_k is charged only under its own SU(3)_k; vacuum energy sums sectors, visible decoupling does not.","Field-content audit in the technical note.","All interactions that renormalize the orbit must be replicated; hard sector splittings spoil cancellation.",MODEL_CONSTRUCTION
C05,"The visible fundamental Dirac threshold transmits scale-lock failure with coefficient 2/27 at one loop.",PASS,"All-orders decoupling recursion specialized to the 7->6->5->4->3 threshold chain; one-loop beta coefficients telescope.","Exact arithmetic check in verification script; standard QCD decoupling literature.","Higher-order result is 2/27 + O(alpha_s(M)).",KNOWN_QCD_COEFFICIENT_NEW_APPLICATION
C06,"For Z_6 and vacuum a/f_a = pi/2, the visible logarithmic mass slope is exactly kappa_0=epsilon.",PASS,"M_0=M[1-epsilon cos(a/f_a)] and evaluation at pi/2.","Symbolic check.","The chosen vacuum is one of six degenerate symmetry-related minima.",DERIVED
C07,"For Z_6, m_a^2 = 27 M^4 epsilon^6/(320 pi^2 f_a^2) at leading order for N_c=3.",PASS,"Second derivative of the projected Coleman-Weinberg potential using F_6=1/160.","Symbolic coefficient check.","Subject to O(epsilon) and loop corrections.",DERIVED
C08,"The protected mass is suppressed relative to the naive single-threshold mass by (9/80) epsilon^4.",PASS,"Ratio of the Z_6 leading mass to N_c M^4 epsilon^2/(4 pi^2 f_a^2).","Symbolic ratio check.","The normalization of the naive estimate is conventional up to order-one terms.",DERIVED
C09,"The QCD coupling remains O(epsilon) while the vacuum mass squared is O(epsilon^6) in the minimal clean benchmark.",PASS,"One-sector first derivative versus complete-orbit second derivative.","Analytic and numerical checks.","Environmental finite-density potentials are not epsilon^6 suppressed.",CENTRAL_RESULT
C10,"The conventional matter sector is perturbatively Lorentz-unitary and has positive elementary kinetic terms.",PASS_PERTURBATIVE,"Canonical two-derivative scalar, Yang-Mills, and vectorlike-fermion Lagrangian.","Mass-positivity scan over 100000 random points with 0<epsilon<1.","Nonperturbative gauge dynamics and any UV completion require separate assessment.",STANDARD
C11,"All-loop epsilon^N protection follows from exact Z_N plus restoration of continuous shift symmetry at epsilon=0.",PASS_CONDITIONAL,"Fourier selection plus analytic spurion expansion.","Formal theorem in note; mechanism established in discrete-Goldstone literature.","Independent Z_N-allowed shift-breaking operators invalidate the conclusion.",ESTABLISHED_PRINCIPLE
C12,"An elementary global Phi completion has an ultraviolet quality problem from Phi^N/M_*^(N-4).",FAIL_FOR_UV_COMPLETENESS,"The operator is allowed by Z_N and can dominate the protected loop potential.","Operator analysis; axion-quality literature.","Needs discrete-gauge, composite, or Wilson-line protection.",KNOWN_OBSTRUCTION
