source_id,short,title,authors,year,kind,persistent_id,url,version,supports
SRC-PDG-2026,PDG 2026,Review of Particle Physics (2026),F. Takahashi et al. (Particle Data Group),2026,authoritative review and official tables,doi:10.1142/S0217751X26300115,https://pdg.lbl.gov/2026/,2026 edition; listings/table cutoff 2026-01-15,"particle spectrum, Standard Model tests, neutrinos, QCD, electroweak, flavour, gravity review, cosmology reviews"
SRC-KATRIN-2025,KATRIN 2025,Direct neutrino-mass measurement based on 259 days of KATRIN data,M. Aker et al. (KATRIN Collaboration),2025,primary experiment,doi:10.1126/science.adq9592; arXiv:2406.13516,https://arxiv.org/abs/2406.13516,v1 and journal publication,direct effective electron-neutrino mass bound m_beta < 0.45 eV at 90% CL
SRC-ATLAS-H-2023,ATLAS Higgs mass,Combined measurement of the Higgs boson mass from H to gamma gamma and H to ZZ* to 4l,ATLAS Collaboration,2023,primary experiment,arXiv:2308.04775,https://arxiv.org/abs/2308.04775,v2,m_H = 125.11 +/- 0.11 GeV
SRC-ATLAS-W-2024,ATLAS W mass,Measurement of the W-boson mass and width with the ATLAS detector,ATLAS Collaboration,2024,primary experiment,arXiv:2403.15085,https://arxiv.org/abs/2403.15085,v2,m_W = 80366.5 +/- 15.9 MeV; compatibility with electroweak fit
SRC-CDF-W-2022,CDF II W mass,High-precision measurement of the W boson mass with the CDF II detector,T. Aaltonen et al. (CDF Collaboration),2022,primary experiment,doi:10.1126/science.abk1781,https://www.science.org/doi/10.1126/science.abk1781,journal publication,m_W = 80433.5 +/- 9.4 MeV; active inter-experiment tension
SRC-MUONG2-2026,Muon g-2 final,Final Report on the Measurement of the Positive Muon Anomalous Magnetic Moment at Fermilab to 127 ppb,Muon g-2 Collaboration,2026,primary experiment,arXiv:2606.17323,https://arxiv.org/abs/2606.17323,v1,final experimental value and 127 ppb Fermilab precision
SRC-MUONG2-WP25,Muon g-2 theory 2025,The anomalous magnetic moment of the muon in the Standard Model,R. Aliberti et al. (Muon g-2 Theory Initiative),2025,authoritative theory review,arXiv:2505.21476,https://arxiv.org/abs/2505.21476,v2,current SM prediction and unresolved hadronic-theory systematics
SRC-MICROSCOPE-2022,MICROSCOPE,MICROSCOPE mission: final results of the test of the Equivalence Principle,P. Touboul et al.,2022,primary experiment,doi:10.1103/PhysRevLett.129.121102; arXiv:2209.15487,https://arxiv.org/abs/2209.15487,v1,"eta(Ti,Pt) = [-1.5 +/- 2.3(stat) +/- 1.5(syst)] x 10^-15"
SRC-DOUBLE-PULSAR-2021,Double pulsar,Strong-field gravity tests with the double pulsar,M. Kramer et al.,2021,primary observation,doi:10.1103/PhysRevX.11.041050; arXiv:2112.06795,https://arxiv.org/abs/2112.06795,v2,multiple strong-field tests; quadrupolar GW damping agreement at about 1.3 x 10^-4
SRC-GWTC4-GR-2026,GWTC-4.0 GR tests,GWTC-4.0: Tests of General Relativity II - Parameterized Tests,"LIGO Scientific, Virgo and KAGRA Collaborations",2026,primary observation,arXiv:2603.19020,https://arxiv.org/abs/2603.19020,v1,91 confident signals in combined sample; no evidence beyond GR; m_g <= 1.92 x 10^-23 eV/c^2 at 90% credibility
SRC-EHT-SGRA-2023,EHT Sgr A* surface test,First Sagittarius A* Event Horizon Telescope Results VI: Testing the Black Hole Metric,Event Horizon Telescope Collaboration,2023,primary observation,arXiv:2311.09484,https://arxiv.org/abs/2311.09484,v1,horizon-scale imaging and constraints on material or reflective surfaces
