response,version,folder,historical_filename,sha256
01,v0.1,01-v0.1-chronometry-from-crossed-null-phases,chronometry_from_crossed_null_phases.pdf,10a16a83f422d7b53f5951cb4c36f3b8452b9e8c4e1e7cc2900dff14351100b4
01,v0.1,01-v0.1-chronometry-from-crossed-null-phases,chronometry_from_crossed_null_phases.tex,4be01415e1c16505d818af0e3f6f9d876bdc78536edb768ef8c5c6abf8a546fb
01,v0.1,01-v0.1-chronometry-from-crossed-null-phases,verify_crossed_null_chronometry.py,8f693bb59898f2c250f17fc13ed33ddbac0aba93c7d82a8dc5d6bcb8303de155
01,v0.1,01-v0.1-chronometry-from-crossed-null-phases,chronometry_research_package_v0.1.zip,de99e6036e00a855bef8b1aa3de5404002d73da899641f1b50bb97ebb2714f1b
02,v0.2,02-v0.2-crossed-null-audit,crossed_null_chronometry_audit_v0_2.pdf,aefd915a15776c21a1bbadb44e78b153e347826d40f4cf3b5d5ca4b74e575088
02,v0.2,02-v0.2-crossed-null-audit,crossed_null_chronometry_audit_v0_2.tex,1ab2a7a8063aa9dd2f16761fb2afd5e600a3fe20a7268e4d3dea546354faf9ee
02,v0.2,02-v0.2-crossed-null-audit,crossed_null_priority_matrix_v0_2.csv,9245808bda0cfedc86630504552b06c1e63eb330c4e543571a9841a876f31c99
02,v0.2,02-v0.2-crossed-null-audit,crossed_null_literature_search_protocol_v0_2.md,a3b16c4c18be52618c8f418110cd9d3c4393c5050fafea5c63ad8d992ec7d8b5
02,v0.2,02-v0.2-crossed-null-audit,crossed_null_verification_v0_2.py,2ce886a762706c90500d12d146eb5f80a6346bbee9aff37a964a3ffadf1e2a5c
02,v0.2,02-v0.2-crossed-null-audit,crossed_null_verification_results_v0_2.json,046e3ab20b827d2f97f95662e1dd88b6c1aca48991f2a275178d76d157d60fc1
02,v0.2,02-v0.2-crossed-null-audit,crossed_null_research_package_v0_2.zip,dfa93a91589b8efce5ecbb939203e936018f2c9369987ed2aa68f4808b59be7b
03,v0.3,03-v0.3-spectral-chronometry-higgs-dilaton,spectral_chronometry_higgs_dilaton_v0_3.pdf,30a01769b59d7dec6a51b930030ff82498019bd8f9ab6bfe675f86b4004da583
03,v0.3,03-v0.3-spectral-chronometry-higgs-dilaton,spectral_chronometry_higgs_dilaton_v0_3.tex,654f312f909e82ac3d2c76b00361fdb8d13b997c978e36b0a4f84a6f345125f5
03,v0.3,03-v0.3-spectral-chronometry-higgs-dilaton,spectral_chronometry_priority_matrix_v0_3.csv,1533676f14953ba90b89014873b442e8bca6df7854729be357647f5626386f53
03,v0.3,03-v0.3-spectral-chronometry-higgs-dilaton,spectral_chronometry_literature_protocol_v0_3.md,1614b0627aea7b924aaa4eecd69b466f12fd44494c9cc44a2e11499a8268dbb7
03,v0.3,03-v0.3-spectral-chronometry-higgs-dilaton,verify_spectral_chronometry_v0_3.py,38fb6165ec769f4ef514157a254599ac0bccb3d6d6842cdd54b47e8a94d7676a
03,v0.3,03-v0.3-spectral-chronometry-higgs-dilaton,spectral_chronometry_verification_v0_3.json,a49f48d37697a62f312e7d49d14901838e72105804599302e6db1ccd4365bb70
03,v0.3,03-v0.3-spectral-chronometry-higgs-dilaton,spectral_chronometry_research_package_v0_3.zip,231ac05db7e747fa361a37a2ee5ebfd3b2fb0d12608a566e71609422acdda0d1
04,v0.4,04-v0.4-universal-scale-locking-turok36,universal_scale_locking_turok36_v0_4.pdf,6cceeafb34c562ba92ad3076fc0537673b90b757bbbaf73df2c470d2e0169ba7
04,v0.4,04-v0.4-universal-scale-locking-turok36,universal_scale_locking_turok36_v0_4.tex,cd22aff9eeb32a6c08d65f67a4c896c286d406d93730ceba9c6ae8e5f1c3d062
04,v0.4,04-v0.4-universal-scale-locking-turok36,universal_scale_locking_notes_v0_4.md,743f5971822c49067e2f3639e868f642d1b04997c1bf3367abddc74c9e6a8474
