seam_id,seam,primary_class,mathematical_inconsistency,ultraviolet_incompleteness,empirical_anomaly,unexplained_parameter,naturalness_fine_tuning,missing_initial_boundary_condition,inaccessible_regime,structural_equation,established_status,not_a_claim,resolution_evidence,successor_obligation,sources
S-01,Quantum gravity / ultraviolet completion,ULTRAVIOLET INCOMPLETENESS,0,1,0,0,0,0,1,"\Delta\mathcal L_{2\ell}\propto \epsilon^{-1}\sqrt{-g}\,R_{\mu\nu}{}^{\rho\sigma}R_{\rho\sigma}{}^{\alpha\beta}R_{\alpha\beta}{}^{\mu\nu}\neq0;\quad E\ll\bar M_P\text{ EFT expansion}","Pure Einstein gravity has a nonzero two-loop divergence as a finite-parameter perturbative QFT, while quantum GR is predictive as a Wilsonian EFT at low energy.",This is not evidence that classical GR or low-energy gravitational EFT is internally inconsistent.,"A quantum theory with a positive physical state space, controlled UV behaviour, a well-defined observable map, and matching to the Einstein EFT including calculable Wilson coefficients.","State cutoff/UV completion, physical degrees of freedom, unitarity, causality and the Einstein limit.",SRC-GOROFF-SAGNOTTI-1986;SRC-DONOGHUE-1994
S-02,Vacuum energy / cosmological constant,NATURALNESS AND PARAMETER ORIGIN,0,0,0,1,1,0,0,\Lambda_{\rm eff}=\Lambda_{\rm bare}+\bar M_P^{-2}\rho_{\rm vac}^{\rm ren};\quad G_{\mu\nu}+\Lambda_{\rm eff}g_{\mu\nu}=\bar M_P^{-2}T_{\mu\nu},A small positive effective cosmological constant fits the background expansion. Its radiative stability and relation to quantum vacuum contributions are unexplained.,A fitted Lambda is not an observational failure of GR; the seam is explanatory and radiative.,"A mechanism that predicts or technically stabilizes the observed vacuum curvature while remaining compatible with phase transitions, local gravity and quantum EFT.",Reproduce late acceleration and show radiative stability across known thresholds without hidden retuning.,SRC-WEINBERG-CC-1989;SRC-PLANCK-2018;SRC-DESI-DR2-2025
S-03,Classical singularities and geodesic incompleteness,INACCESSIBLE REGIME / CLASSICAL BREAKDOWN,0,1,0,0,0,1,1,"\exists\ \gamma:[0,\lambda_*)\to\mathcal X\ \text{causal geodesic with finite }\lambda_*\text{ and no extension under theorem assumptions}","Singularity theorems establish causal geodesic incompleteness under specified focusing, causal and global assumptions. They do not identify a physical point of infinite density or a unique completion.",Not every GR solution is singular and observations of black-hole exteriors do not directly observe an interior singularity.,"A globally specified extension or replacement with well-posed evolution, finite observables, and recovery of GR outside the high-curvature region.","Demonstrate extension, hyperbolicity, stability, entropy accounting and observable exterior matching.",SRC-HAWKING-PENROSE-1970;SRC-EHT-SGRA-2023;SRC-GWTC4-GR-2026
S-04,Dark matter identity,EMPIRICAL MISSING COMPONENT,0,0,1,1,0,0,0,H^2=\frac{8\pi G}{3}(\rho_b+\rho_r+\rho_{\rm DM}+\rho_\Lambda);\quad \Omega_c h^2\simeq0.120\ \text{in base }\Lambda\mathrm{CDM},"Multiple cosmological and astrophysical datasets require additional gravitating structure in the standard framework, but no microscopic dark-matter particle has been confirmed.","A null WIMP search is not evidence against all dark matter, and modified-gravity alternatives must reproduce the same multi-scale evidence.","Direct/indirect/production identification with consistent relic and structure history, or an alternative gravity theory that jointly fits CMB, lensing, clusters, galaxies and growth.","Supply the abundance/structure mechanism and pass direct, collider, stellar, BBN and self-interaction constraints appropriate to the model.",SRC-PLANCK-2018;SRC-BULLET-2006;SRC-LZ-2024
S-05,Dark energy microphysics and possible evolution,"SUCCESSFUL PARAMETRIZATION, ORIGIN OPEN",0,0,0,1,1,0,0,\frac{\ddot a}{a}=-\frac{4\pi G}{3}\sum_i(\rho_i+3p_i);\quad w_\Lambda=-1,"A cosmological constant gives a successful minimal fit. DESI DR2 combinations show a dataset- and parametrization-dependent preference for evolving w(a), not a settled detection.",The absence of a microphysical explanation is not an internal contradiction of LambdaCDM.,"Repeated, cross-survey evidence for nonconstant w with controlled systematics, or a theory predicting Lambda and its perturbations with no forbidden fifth force or instability.","Reproduce distances, growth, CMB, BAO, SNe and local-gravity constraints; state whether w=-1 exactly or dynamically.",SRC-PLANCK-2018;SRC-DESI-DR2-2025
S-06,Neutrino masses and lepton-number structure,EMPIRICAL EXTENSION TO MINIMAL RENORMALIZABLE SM,0,1,1,1,0,0,0,"\mathcal L_5=\frac{C_5^{ij}}{2\Lambda_L}(L_i^T C\epsilon H)(H^T\epsilon L_j)+\mathrm{h.c.},\quad m_\nu=-\frac{v^2}{2\Lambda_L}C_5",Oscillations require nonzero mass splittings. The renormalizable SM field content gives massless neutrinos; the dimension-five operator is the minimal data-required EFT extension.,"The data do not yet determine Dirac versus Majorana mass, absolute ordering in all respects, or the UV mediator.","A measured absolute spectrum and lepton-number character plus a UV mechanism matching oscillations, beta decay, cosmology and charged-lepton flavour limits.","Generate the observed mixing and splittings without gauge anomalies, nonunitary mixing or excluded lepton-flavour violation.",SRC-PDG-2026;SRC-KATRIN-2025;SRC-WEINBERG-OP-1979
S-07,Baryogenesis / matter-antimatter asymmetry,MISSING DYNAMICAL HISTORY,0,0,1,1,0,1,1,\eta_B\equiv n_B/n_\gamma\sim6\times10^{-10};\quad \dot n_B+3Hn_B=\mathcal C_{B\!\!\!/}[f_i],The observed baryon asymmetry is not generated in an accepted calculation by the minimal SM with its measured Higgs and standard thermal history. Sphalerons provide B+L violation but the electroweak transition is a crossover and SM CP violation is insufficient in standard scenarios.,This is not a mathematical inconsistency; a primordial asymmetric boundary condition can be parametrized but is not explained.,"A quantitative out-of-equilibrium calculation yielding the observed asymmetry while satisfying EDM, collider, neutrino, BBN and washout constraints.","Identify Sakharov ingredients, solve transport/kinetics, and show survival through electroweak and later epochs.",SRC-SAKHAROV-1967;SRC-SPHALERON-2012;SRC-PLANCK-2018
S-08,Inflation or an alternative origin of primordial perturbations,MISSING INITIAL-CONDITION DYNAMICS,0,0,0,1,0,1,1,\mathcal P_\zeta(k)=A_s(k/k_*)^{n_s-1+\cdots};\quad r\equiv\mathcal P_T/\mathcal P_\zeta<0.036\ (95\%\ \mathrm{CL}),"A nearly adiabatic, nearly scale-invariant scalar spectrum is well measured. The generating field content, initial quantum state and reheating history are not uniquely selected.","Inflation is a broad mechanism class, not a single verified Lagrangian; alternatives are not excluded merely by being alternatives.","A complete background and perturbation history predicting scalar/tensor/non-Gaussian observables, reheating and BBN-compatible initial conditions.",Recover the observed spectrum and solve horizon/flatness or explain why those diagnostics are replaced.,SRC-PLANCK-2018;SRC-BICEP-2021
S-09,Electroweak hierarchy / Higgs sensitivity,NATURALNESS,0,0,0,1,1,0,0,\delta m_H^2\sim\frac{\Lambda^2}{16\pi^2}\left(6\lambda+\frac94g^2+\frac34g^{\prime2}-6y_t^2\right)\quad\text{in a cutoff parametrization},The measured electroweak scale is radiatively sensitive to heavy thresholds in many UV completions. The SM as a renormalized QFT is internally consistent without a naturalness postulate.,Quadratic sensitivity is not by itself an observed anomaly or a regulator-independent proof of new particles near the weak scale.,"A symmetry, dynamics or UV boundary condition that quantitatively stabilizes or predicts the hierarchy and survives collider/flavour/cosmological tests.",State the threshold matching and tuning measure; do not count aesthetic naturalness as a fatal empirical gate.,SRC-PDG-2026;SRC-ATLAS-H-2023
S-10,Strong CP,UNEXPLAINED SMALL PARAMETER,0,0,0,1,1,0,0,\bar\theta=\theta_{\rm QCD}+\arg\det(M_uM_d);\quad \mathcal L_\theta=\frac{g_s^2\bar\theta}{32\pi^2}G\widetilde G;\quad |\bar\theta|\lesssim10^{-10},"QCD permits CP violation, yet neutron-EDM limits require an extremely small effective angle. The smallness is unexplained in the SM.",A null EDM is not an inconsistency; it is a severe parameter-selection problem.,"A symmetry or dynamics, such as a viable axion/PQ realization or massless-quark alternative consistent with data, that predicts the EDM and cosmology.","Compute theta matching, anomaly structure, quality problem and EDM/astrophysical/cosmological bounds.",SRC-NEDM-2020;SRC-PQ-1977;SRC-PDG-2026
