id,object,primary_location,source_definition,reconstruction_status,blocking_issue
GU-DEF-001,X4,"Draft pp.3-4","Oriented smooth four-manifold with unique spin structure and no initially chosen geometry",TYPED,"Global spin-structure assumption is input"
GU-DEF-002,Observerse,"Draft Def.3.1; eq.3.1; pp.15-16","Triple (X,Y,{iota}) with local observation/embedding maps inducing a pullback metric",TYPED,"Category of allowed maps and global compatibility remain to be fixed"
GU-DEF-003,Einsteinian Y,"Draft p.15; official lecture 01:10:24","Y=Met(X), the pointwise bundle of nondegenerate metrics",TYPED,"Allowed signatures and topology of components undeclared"
GU-DEF-004,Native and invasive fields,"Draft Def.3.2; p.16","Native fields originate on X or Y; invasive fields on X are pulled back from Y",TYPED,"Observable map and pullback dynamics incomplete"
GU-DEF-005,Vertical bundle V,"Draft pp.17-18","Vertical tangent bundle of Met(X) over X",TYPED,"Metric signature derivation needs independent proof"
GU-DEF-006,Horizontal dual H*,"Draft eq.3.7; pp.17-18","Pullback of T*X embedded in T*Y",PARTIAL,"Depends on connection/splitting conventions"
GU-DEF-007,Chimeric bundle C,"Draft section 3.2; eqs.3.10-3.15","C=V plus H* with induced metric; source states signature (7,7) in the selected branch",PARTIAL,"Global metric and signature proof pending"
GU-DEF-008,Chimeric spinors,"Draft section 3.3","Spinors of C, related to metric spinors after observation",PARTIAL,"Real/complex and chirality conventions require reconstruction"
GU-DEF-009,Finite structure group,"Draft eqs.3.27-3.38","Spin(7,7) represented in U(64,64)",PARTIAL,"One Clifford decomposition is explicitly flagged for checking"
GU-DEF-010,Main principal bundle,"Draft eq.3.38; p.24","Extension of the chimeric spin-frame bundle to the U(64,64) structure group",PARTIAL,"Global bundle class and representation lift undeclared"
GU-DEF-011,Connection space A,"Draft section 5.2","Affine space of connections on the main principal bundle",TYPED,"Functional-analytic completion undeclared"
GU-DEF-012,Gauge group mathcal H,"Draft section 5.2","Smooth sections of the associated Ad bundle",PARTIAL,"Notation H is overloaded with the finite structure group"
GU-DEF-013,N,"Draft eq.5.5","Omega^1(Y,ad P_H), the model space for connections",TYPED,"Sobolev/domain choice undeclared"
GU-DEF-014,Inhomogeneous gauge group G,"Draft Def.5.1; eqs.5.8-5.9","Semidirect product of the gauge group with N",TYPED ALGEBRAICALLY,"Infinite-dimensional Lie-group regularity not specified"
GU-DEF-015,Unified field omega,"Draft eqs.5.1-5.4","omega=(beta,chi), beta=(varepsilon,adjoint one-form), chi=(nu,zeta)",PARTIAL,"Grassmann parity, dimensions and reality conditions incomplete"
GU-DEF-016,Distinguished connection A0,"Draft section 6","Observation-induced Levi-Civita/spin connection used as affine origin",PARTIAL,"Functional dependence on observation field must be retained in variations"
GU-DEF-017,Tilted subgroup,"Draft Lemma 6.1; eqs.6.3-6.4","Injective homomorphism tau_A0 from the gauge group into G",TYPED ALGEBRAICALLY,"Global/boundary implementation pending"
GU-DEF-018,Augmented torsion,"Draft Def.7.1; eqs.7.1-7.4","Difference between affine-shifted and gauge-transformed connections",TYPED ALGEBRAICALLY,"Full action uses additional bi-connection notation needing stabilization"
GU-DEF-019,Shiab operator,"Draft section 8","Family of contraction/projection operators depending on observation and unified field",UNRESOLVED,"No single branch/domain/codomain frozen"
GU-DEF-020,First-order bosonic action,"Draft eq.9.4","Pairing of augmented torsion with Shiab-contracted curvature/torsion expression",PARTIAL,"Independent variables, boundary terms and operator branch not fixed"
GU-DEF-021,Upsilon,"Draft eqs.9.5-9.10","First-order bosonic equation/swervature assemblage",PARTIAL,"Exact typed map depends on Shiab choice"
GU-DEF-022,Second-order bosonic action,"Draft eqs.9.11-9.15","Norm squared of Upsilon with equation D*_omega Upsilon=0",PARTIAL,"Formal adjoint requires metric, pairing and boundary domain"
GU-DEF-023,Fermionic block operator,"Draft section 9.3","First-order matrix operator on spinor zero- and one-forms",UNRESOLVED,"No unique stabilized operator/quantum action reconstructed"
GU-DEF-024,Deformation complex,"Draft section 10; eqs.10.1-10.10","Proposed gauge-to-field-to-equation sequence",UNRESOLVED,"Source explicitly caveats possible inconsistencies"
GU-DEF-025,Observed field decomposition,"Draft section 11; eq.11.6","Pullback and Spin(1,3) x Spin(6,4) decomposition into F,Q,Z sectors",PARTIAL,"Dimension arithmetic passes; representation branching and dynamics unproved"
GU-DEF-026,Observable algebra,"Throughout","Observation described by pullback from Y to X",UNRESOLVED,"Complete gauge-invariant observable map absent"
GU-DEF-027,Initial/boundary data,"Not supplied as a complete object","No complete quantum/cosmological state or boundary prescription",MISSING,"Required for full theory tuple"
