"Category","Primary source","Year","Identifier","Closest established result","Overlap with crossed-null programme","What remains distinct","Priority impact"
"Null basis / boosts","Maciel, Le Delliou & Mimoso, New insights on null and timelike warped symmetric spacetime splittings","2024","arXiv:2405.09968","A normalized pair of null directions reconstructs timelike/spacelike directions; reciprocal null rescaling is boost freedom.","Directly covers the kinematic statement that rapidity is relative null normalization.","Chronometric interpretation and phase-based readout only.","Kinematic identity is established; no priority claim."
"Double-null canonical GR","Epp, The Symplectic Structure of General Relativity in the Double-Null (2+2) Formalism","1995","arXiv:gr-qc/9511060","Double-null foliations are canonical variables for GR and encode physical degrees of freedom.","Uses two null hypersurface families and their cross-normalization.","Does not identify the cross-normalization with a phase-generated clock metric.","High adjacency; geometry is established."
"Double-null scale symmetry","Shyam, Scale Invariance in Gravity On The Light-Front","2015","arXiv:1507.08493","Double-null GR admits a formulation with manifest restricted local Weyl invariance after choosing null parametrizations.","Directly connects double-null structure, null parametrization and Weyl scale.","No crossed compact-phase clock/ruler construction or mediator stability result.","Very high adjacency to conformal-scale narrative."
"Mimetic metric","Chamseddine & Mukhanov, Mimetic Dark Matter","2013","arXiv:1308.5410","Defines a physical metric by multiplying an auxiliary metric by the norm of a scalar gradient, isolating the conformal mode.","Under the two null constraints, h_ab=C g_ab exactly reduces to h_ab=-(grad T)^2 g_ab.","An additional orthogonal ruler field R and a phase-medium EFT.","Exact conformal-completion map is not new; it is mimetic in disguise."
"Two-field mimetic instability","Shen, Zheng & Li, Two-field mimetic gravity revisited and Hamiltonian analysis","2019","arXiv:1909.01248","Two scalar modes occur; opposite-sign kinetic terms in the mimetic constraint give an unavoidable ghost.","Warns directly about adding a spacelike ruler scalar to a timelike mimetic clock scalar.","Our repaired model does not use a noninvertible metric transformation.","Direct composite-gravity route is high risk."
"Multi-field mimetic gravity","Mansoori et al., Multi-field Mimetic Gravity","2021","arXiv:2108.11666","General singular conformal maps with curved field space; entropy-mode health depends on field-space signature.","Closest formal class for clock plus ruler scalars in a singular conformal map.","Cross-null phase origin and soft-null mediator EFT.","Further narrows any multi-field novelty."
"Extended mimetic stability","Takahashi & Kobayashi, Extended mimetic gravity: Hamiltonian analysis and gradient instabilities","2017","arXiv:1708.02951","Generic extended mimetic models have scalar/tensor gradient or ghost instabilities; exceptional cases can be strongly coupled.","Matches the danger encountered by the exact-null model.","Our repaired phase EFT has an independently positive Hamiltonian.","Direct h=Cg gravitational action should be rejected absent a full Hamiltonian proof."
"Healthy mimetic EFT","Hirano, Nishi & Kobayashi, Healthy imperfect dark matter from effective theory of mimetic cosmological perturbations","2017","arXiv:1704.06031","Specific ADM operators can repair mimetic perturbative instabilities.","Shows instability is not an absolute no-go but requires tuned/structured extensions.","Our repair is a two-phase material EFT rather than an ADM mimetic extension.","Prevents overstatement that all mimetic theories are sick."
"Cross-flowing null dust","Horvath, Kovacs & Gergely, Geometrodynamics in a spherically symmetric static crossflow of null dust","2006","arXiv:gr-qc/0605116","Two null streams are equivalent to an anisotropic reference fluid and define a preferred internal time.","Direct precedent for time emerging relationally from two null flows.","Phase normalization, conformal calibration and a stable mediator model.","Central interpretive precedent; broad emergence claim is established."
"Cross-flow canonical time","Kovacs, Horvath & Gergely, Canonical Analysis of Radiating Atmospheres of Stars","2006","arXiv:gr-qc/0612052","Cross-flowing null dust supplies a preferred time function usable as a canonical coordinate.","Same core relational-null-to-time idea.","No phase clock metric or microscopic scale lock.","Strong priority limitation."
"Emergent clock/ruler fields","Erlich, Stochastic Emergent Quantum Gravity","2018","arXiv:1807.07083","Adds scalar clock and ruler fields, uses a composite metric/vanishing-stress constraint, and discusses emergent gravity and global invertibility problems.","Very close to the broad programme of deriving geometry relative to material clock/ruler scalars.","Our fields are compact crossed phases; the repaired model avoids a wrong-sign physical clock and supplies explicit stability sum rules.","Broad clock/ruler-emergence framing is already occupied."
"Material reference clocks","Brown & Kuchar, Dust as a Standard of Space and Time in Canonical Quantum Gravity","1994","arXiv:gr-qc/9409001","Dynamical matter supplies proper time and comoving spatial coordinates and deparametrizes gravity.","Establishes matter clocks/rulers as dynamical reference fields.","Null-phase constituents and generated scale rather than timelike dust.","Reference-field programme is well established."
"Emission coordinates","Coll & Pozo, Relativistic Positioning Systems: The Emission Coordinates","2006","arXiv:gr-qc/0606044","Four clocks broadcasting proper time on null signals define physical null coordinates and constrain metric components.","Uses compact/readable null labels to construct operational coordinates.","Direction of explanation is reversed: clocks are input rather than output.","Adjacent operational literature; no exact priority conflict."
"Bateman null electromagnetism","Kedia et al., Tying knots in light fields","2013","arXiv:1302.0342","Bateman potentials use two complex scalar functions satisfying a first-order compatibility equation to generate null Maxwell fields.","Direct precedent for encoding null electromagnetic structure with two scalars.","The Bateman scalars are complex potentials, not two independent compact phases with separately null gradients.","Blocks a broad two-scalars-plus-null-EM novelty claim, but not the restricted phase-gradient model."
"Electromagnetic principal frames","Wylleman, Costa & Natário, Poynting vector, super-Poynting vector, and principal observers","2020","arXiv:2007.15384","Every non-null electromagnetic field admits principal observers for whom the Poynting vector vanishes; these observers lie in the plane spanned by principal null directions.","Directly precedes the idea that a relational/non-null electromagnetic configuration determines timelike energy frames.","It does not construct clock calibration from compact phase gradients or generate a universal scale.","Broad EM-rest-frame interpretation is established."
