version,historical_filename,availability_in_this_archive,recovery_note
v0.1,chronometry_from_crossed_null_phases.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.1,chronometry_from_crossed_null_phases.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.1,verify_crossed_null_chronometry.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.1,chronometry_research_package_v0.1.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.2,crossed_null_chronometry_audit_v0_2.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.2,crossed_null_chronometry_audit_v0_2.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.2,crossed_null_priority_matrix_v0_2.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.2,crossed_null_literature_search_protocol_v0_2.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.2,crossed_null_verification_v0_2.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.2,crossed_null_verification_results_v0_2.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.2,crossed_null_research_package_v0_2.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.3,spectral_chronometry_higgs_dilaton_v0_3.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.3,spectral_chronometry_higgs_dilaton_v0_3.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.3,spectral_chronometry_priority_matrix_v0_3.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.3,spectral_chronometry_literature_protocol_v0_3.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.3,verify_spectral_chronometry_v0_3.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.3,spectral_chronometry_verification_v0_3.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
