claim,closest_precedent,source,overlap,priority_status,residual_candidate
Light rays and free fall determine conformal/projective structure but not metric scale,Ehlers-Pirani-Schild; Perlick standard clocks; Fatibene et al. time protocols,EPS (1972); Perlick (1987); arXiv:1410.1284,Direct precedent for causal/conformal reconstruction and clock-based gauge fixing.,ESTABLISHED / NOT NOVEL,None at this level.
A bona fide clock can select the remaining scale of a conformal spacetime,Fatibene et al.; Svozil single-unit theorem,arXiv:1410.1284; arXiv:2511.20728,Direct precedent; Svozil gives a recent formal single-clock scale-fixing treatment.,ESTABLISHED / NOT NOVEL,Extend from one normalization to local compatibility of an entire family of spectra.
Massless physics supplies conformal geometry while mass generation completes chronometric geometry,Bradonjić massless spacetime; Rainer emergent spacetime proposal,arXiv:0905.4547; arXiv:2601.00070,Very close conceptual precedent linking electroweak mass to full geometry/clocks.,BROAD CLAIM NOT NOVEL,Recast as a precise multi-clock consistency theorem rather than a slogan.
Physical time may be represented by counting field oscillations,Wetterich physical time,arXiv:2408.01524,Direct precedent for phase/oscillation-count clocks.,ESTABLISHED / NOT NOVEL,Require universality across inequivalent clock species.
Higgs/gravitational scalar sectors determine atomic measurement gauge,Scholz; Hobson and Lasenby,arXiv:1407.6811; arXiv:2009.06407,"Direct precedent connecting mass-generating scalar fields, Weyl gauge and proper time.",ESTABLISHED / NOT NOVEL,Spectral factorization criterion and differential obstruction.
Higgs-dilaton dynamics can modify or define clock rates,Nguyen Higgs-dilaton varying-light-speed/clock model,arXiv:2408.02583,Direct precedent for Higgs-dilaton-dependent clock calibration.,CLOSE PRIOR ART,Demand one common factor for all spectra and identify violations species-by-species.
All particle and gravitational mass scales can descend from one scalar source,"Higgs-dilaton, local conformal Standard Model and cosmon scaling literature",arXiv:0809.3395; arXiv:1307.1848; arXiv:2601.16731,Extensive direct prior art.,ESTABLISHED / NOT NOVEL,Interpret the shared scale as a necessary chronometric compatibility field.
Every clock defines the same proper-time metric iff all local frequencies factorize as omega_A=c_A chi,"Universal scalar coupling, local-position-invariance and single-clock conformal gauge literature",arXiv:1410.1284; arXiv:2511.20728; arXiv:2606.27388,Ingredients are familiar; no exact indexed statement of the local many-clock iff theorem was found.,CANDIDATE FORMULATION,"The theorem, its exact hypotheses and uniqueness result; likely mathematically elementary, so novelty is formulation/use rather than difficult proof."
Differential one-forms S_AB=d ln(omega_A/omega_B) are the invariant obstruction to one metric time,Atomic-clock sensitivity coefficients and differential variation of constants,arXiv:2302.04565; arXiv:2606.27388; arXiv:1009.5514,The measured quantities are standard; the geometric obstruction interpretation and package were not found verbatim.,CANDIDATE REFORMULATION,Define chronometric shear as a conformal-gauge invariant field on clock space.
Log-frequency space modulo common-mode translations is the natural clock-space quotient,Common-mode rejection in clock comparisons; Weyl transformation of masses,Varying-constant and scalar-clock literature,Linear algebra is standard; no exact clock-space quotient formalism was found in targeted searches.,CANDIDATE FORMALISM,Coordinate-free quotient/line-bundle formulation and connection to conformal geometry.
r independent non-universal scalar fields imply a differential clock-drift data matrix of rank at most r,Multi-parameter clock sensitivity matrices,"Atomic-clock variation analyses, including arXiv:2302.04565 and arXiv:2606.27388",Sensitivity matrices are routine; the rank bound as a model-counting signature was not found as an explicit theorem in this audit.,PLAUSIBLE NEW DATA-ANALYSIS STATEMENT,"Prove identifiability conditions, include noise/systematics and test on real networks."
One Higgs-dilaton misalignment scalar produces rank-one correlated clock-ratio drift,Single ultralight scalar coupled with species-dependent sensitivities,arXiv:2606.27388 and ultralight-scalar clock literature,The linear response is implicit in standard scalar searches.,CLOSE TO IMPLICIT PRIOR ART,Embed as the falsification signature of the universal-clock theorem.
The ordinary Standard Model Higgs alone is a universal clock scale,Standard Model mass generation and varying-constant literature,arXiv:1009.5514; atomic-clock reviews,"Contradicted by independent QCD, gravitational and dimensionless-coupling dependence.",FAILS,Only conditionally possible if deeper dynamics locks all dimensionless ratios and all scales to h.
Higgs-only induced gravity is a viable minimal completion,Atkins and Calmet bound on Higgs-curvature coupling,arXiv:1211.0281,Induced gravity needs xi about 10^32; collider Higgs data bound it far below this and such a Higgs would decouple.,MINIMAL MODEL EXCLUDED,Use an additional gravitational scalar or other Planck-scale order parameter.
The Standard Model Higgs can be the sole local Weyl compensator while retaining the observed Higgs,Conformal compensator analyses; Weyl-gauge Standard Model models,arXiv:hep-th/0504086; arXiv:1809.09174,In the simplest model the remaining radial Higgs is gauge-removed/eaten; viable constructions add a scalar or gravitational mode.,MINIMAL MODEL FAILS,Radial compensator plus angular Higgs alignment.
Minimal classically scale-invariant Standard Model radiatively generates the observed electroweak vacuum,Foot et al. and minimal scale-invariant extension literature,arXiv:0709.2750; arXiv:1006.5916,Known failure: heavy top prevents required bosonic dominance; additional bosons/dynamics are needed.,FAILS,Hidden-sector dimensional transmutation transmitted by a portal.
"A deeper radial field chi with h=rho sin theta, chi=rho cos theta cleanly separates scale and Higgs alignment",Higgs-dilaton and local conformal scalar parameterizations,arXiv:0809.3395; arXiv:1307.1848; arXiv:1809.09174,Radial/angular decomposition is standard.,ESTABLISHED TOOL,Use rho as the universal spectral factor and theta as chronometric shear source.
Electromagnetism supplies the universal scale of time,Conformal invariance of Maxwell theory,Standard Maxwell theory in 3+1 dimensions,Free EM transports phases and causal structure but has no intrinsic absolute frequency scale.,FAILS AS STATED,EM supplies phase transport/readout after a mass/scale sector supplies normalization.
Higgs relay + deeper scale field + EM phase readout reconstructs operational duration,"Combination of Higgs-dilaton, atomic spectra, conformal clocks and phase-count time literature",Multiple sources above,Every ingredient has precedent; the exact three-role synthesis and theorem-driven selection criterion were not found as a single construction.,PLAUSIBLE NOVEL SYNTHESIS,"A narrowly claimed theorem/model-selection paper, not a broad claim that the Higgs creates time."
Exact universal scaling is locally unobservable in clock ratios,Frame/unit equivalence and scalar-tensor universal conformal coupling,Varying-constant and scalar-tensor literature,Established principle: only dimensionless ratios are locally observable.,ESTABLISHED / NOT NOVEL,"Use this as the non-circularity boundary: physical novelty requires gravity dynamics, generated scale, or controlled non-universality."
Chronometric geometry is physically more than a choice of units only if the same field also has dynamics or predicts residuals,Jordan/Einstein frame equivalence and compensator literature,Scalar-tensor/Weyl literature,Conceptually established; the criterion is a useful synthesis.,"USEFUL DIAGNOSTIC, NOT FUNDAMENTALLY NEW",Make it a precise model-admissibility condition.
