claim_id,claim,epistemic_category,novelty_status,acceptance_status,support
CL-101,"The five-dimensional Spin(4,2) Chern-Simons parent has primary constraints phi_a^I, Gauss constraints G_a, four spatial-diffeomorphism generators and rank 56 in a regular canonical sector.",established result plus project witness,not novel,PASS,"Bañados-Garay-Henneaux canonical analysis; deterministic local witness with K norm 3.95e-13 and rank 56."
CL-102,"The fixed-reference theory has 13 local configuration degrees of freedom in a regular sector.",established result,not novel,PASS,"N_dof=N-2 for N=15."
CL-103,"The full adjoint zero mode A_y has eight gauge-orbit directions around J_54 and seven centralizer directions; fixing the complete holonomy cannot be pure gauge.",project derivation,plausibly useful clarification,PASS,"Explicit vector-representation commutator rank."
CL-104,"Within the v1.0 SO(3,2)-vector ansatz, four components of Phi fix orientation while its norm is gauge invariant.",established group-orbit fact plus application,not novel,PASS,"SO(3,2)/SO(3,1) orbit dimension 4."
CL-105,"The conjugacy-class observable tr_6 W=4+2 cosh(L_y v) changes with v in the Lorentzian J_54 sector.",project derivation,not novel,PASS,"Explicit exponentiation of J_54."
CL-106,"The radial projection Phi dot E_Phi is gauge invariant and retains the epsilon F wedge F equation after orientation gauge fixing.",new project synthesis,candidate narrow contribution,PASS,"BRST invariance of Casimirs and Noether identity."
CL-107,"The pullback of the zero-mode covariant symplectic potential to the fixed-Phi surface equals Einstein-Cartan plus the Euler symplectic potential with exact coefficients.",project derivation,candidate narrow contribution,PASS,"2 alpha/ell^2=1/(32 pi G); Euler coefficient 2 alpha."
CL-108,"Correct pulled-back symplectic coefficients do not make the fixed surface a symplectic reduction because the surface is not dynamically invariant/coisotropic.",new project synthesis,candidate narrow contribution,PASS,"Deleted radial equation and parent flow leave the surface."
CL-109,"A nonlinear non-Abelian truncation to modes n=0,+/-1 is not BRST closed.",elementary theorem applied to TP-01,candidate narrow contribution,PASS,"Loop-algebra bracket generates n=+/-2; any nonzero finite addition-closed subset of Z is infinite."
CL-110,"The first nonzero KK pair carries 26 real regular-sector degrees of freedom at quadratic order around a y-independent canonical background.",project inference,not a universal spectrum theorem,PASS CONDITIONALLY,"13 complexified degrees for n=1 plus conjugate n=-1; assumes regular translation-invariant background."
CL-111,"Schwarzschild-AdS is not a parent background, while pure AdS is a degenerate/irregular parent background.",established counterexample plus canonical classification,candidate synthesis,PASS,"Schwarzschild-AdS violates the retained Phi equation; AdS has F=0 and Omega=0."
CL-112,"The v1.0 restricted no-go theorem survives the Dirac/BRST, first-KK and global audit and can be strengthened under explicitly stated bundle assumptions.",new restricted theorem,narrowest defensible contribution,PROVED UNDER ASSUMPTIONS,"Constraint count, BRST non-closure, holonomy Casimir, symplectic non-invariance and background stratification."
CL-113,"The result is a UV completion or a new fundamental interaction.",rejected claim,not novel,FAIL,"No healthy spectrum-preserving parent, decoupling mechanism or quantum completion is obtained."
