claim_id,claim,status,novelty,confidence,evidence,limitation,next_test
QCD-01,Replacing the external DR subtraction mass by mu_chi = z chi^(1/(1-epsilon)) permits an exactly scale-invariant renormalised functional order by order.,PASS as Wilsonian EFT,Established ingredient,High,Tamarit arXiv:1309.0913; Herrero-Valea arXiv:2007.04335; explicit construction in v0.5 Sections 3.1-3.3,Renormalisation generates an infinite symmetry-compatible higher-dimensional operator tower.,Compute selected two-loop counterterms in the QCD-plus-chi sector and verify the Ward identity explicitly.
QCD-02,Exact scale Ward identities make every physical mass gap homogeneous of degree one in chi when no independent dimensionful boundary datum is present.,PASS,Established principle; new application,High,Homogeneity theorem in v0.5 Section 3.3; scale-invariant QFT literature,Assumes spontaneous scale selection and a well-defined physical spectrum.,Test adiabatic co-scaling of dimensionless hadron ratios in a lattice or functional nonperturbative formulation.
QCD-03,"In the exact locked theory Lambda_nf/chi is constant, up to derivative corrections in an inhomogeneous chi background.",PASS within EFT assumptions,Candidate synthesis,Medium-high,Local derivative expansion in v0.5 Section 3.4,Nonperturbative constructive proof for QCD plus chi has not been supplied.,Derive c_Box and c_partial from a concrete microscopic model or lattice response calculation.
QCD-04,A heavy threshold obeys the exact RGI recursion delta_(n-1) = A_j delta_n + (1-A_j) epsilon_j.,PASS,Candidate formulation; underlying decoupling established,High,Dimensional/RGI proof in v0.5 Section 4; Chetyrkin-Kniehl-Steinhauser arXiv:hep-ph/9708255,The response A_j must be evaluated using the chosen physical RGI conventions.,Evaluate A_j through the highest available perturbative order and quantify matching-scale uncertainty.
QCD-05,"A real scalar S and vectorlike Dirac fermion Psi~(3,1,0) form a conventional renormalisable controlled-breaking sector.",PASS,Established ingredients,High,Lagrangian and counterterm discussion in v0.5 Section 5,"The simple perfect-square alignment potential is a renormalised surface, not protected by the broken S->-S symmetry.",Run the full quartic/Yukawa RG system and test vacuum stability beyond the local Hessian.
QCD-06,The chi-S ratio mode is locally stable for lambda_S>0 and nonzero r; the common radial direction is flat under exact global scale symmetry and becomes positive definite only in a gauged or lifted completion.,PASS for ratio mode; CONDITIONAL for radial completion,Routine verification,High,"Analytic Hessian: one positive ratio eigenvalue and one exact radial zero mode; lifted determinant 2 lambda_S f^2 r^2 m_chi^2; 50,000-point lifted scan",A positive radial mass is incompatible with exact spontaneously broken global scale symmetry unless the mode is gauged away or scale symmetry is lifted; the global version contains a massless dilaton.,"Choose explicitly between global, locally Weyl-gauged, or controlled-lifting completions and analyse the corresponding physical state space."
QCD-07,The added controlled-breaking sector is Lorentzian-unitary and has a standard positive physical spectral interpretation.,PASS perturbatively,Established property,High,Conventional two-derivative scalar and vectorlike gauge theory; no fourth-order elementary field,Does not constitute a constructive nonperturbative proof of the full theory.,Check optical-theorem positivity for representative mixed scalar-gluon amplitudes at one loop.
QCD-08,One misaligned fundamental Dirac colour triplet above the top threshold transmits a leading QCD lock defect with coefficient 2/27.,PASS at one loop,Coefficient established; chronometric role candidate-new,High,Telescoping beta-function derivation and symbolic verification in v0.5 Section 6,Higher-order decoupling and matching corrections modify the coefficient.,Compute the NLO/NNLO value using modern decoupling constants and RGI masses.
QCD-09,"For a Dirac threshold in colour representation R, the leading transmission coefficient is 4 T(R)/27.",PASS at one loop,Established beta-function algebra; new use,High,Generalised derivation in v0.5 Section 6,Requires asymptotic freedom and a threshold ordering compatible with the EFT.,"Catalogue viable representations under asymptotic-freedom, collider, and relic constraints."
QCD-10,"The minimal pure-QCD one-spurion model predicts a rank-one clock pattern, including S_Sr/Cs = 2 S_Sr/CaF at leading sensitivity order.",PASS conditionally,Candidate prediction,Medium,Clock sensitivity projection in v0.5 Section 7; atomic/molecular clock sensitivity literature,"K_q, K_alpha, nuclear and hyperfine corrections perturb the simple factor two.","Build a full sensitivity matrix for Sr, Cs, CaF, Yb+, Al+, and Th-229 and fit the rank-one vector."
QCD-11,"For one unscreened long-range scalar and one dominant QCD spurion, beta_AB/eta_CD = -(Delta K_mu-Delta K_q)/Delta Q_mhat^CD.",PASS conditionally,Candidate synthesis,Medium-high,Elimination of the common scalar source amplitude in v0.5 Section 8; Damour-Donoghue charges; scalar-clock literature,"Fails with multiple scalars, screening, short range, significant electromagnetic/direct quark couplings, or inconsistent source conventions.",Re-derive in a full multi-charge basis and include finite-range Yukawa source profiles.
QCD-12,"For Ti/Pt and the leading gluonic benchmark, beta_Sr/CaF/eta_Ti/Pt = 150.38 and beta_Sr/Cs/eta_Ti/Pt = 300.76.",PASS within stated approximations,Candidate model line,Medium,Semi-empirical dilaton charges and verified arithmetic in v0.5 Section 8,Numerical values inherit nuclear-charge and clock-sensitivity approximations; sign depends on ratio ordering.,Replace semi-empirical charges with modern nuclear calculations and propagate uncertainties.
QCD-13,The minimal long-range ratio mode is radiatively unnatural when coupled to a superheavy coloured threshold.,FAIL for natural observability,Established naturalness issue; decisive model diagnosis,High parametrically,Coleman-Weinberg estimate in v0.5 Section 9,The estimate can be evaded by a genuine protection mechanism.,"Construct and test collective-symmetry, supersymmetric, sequestered, clockwork, or composite near-marginal completions."
QCD-14,A superheavy Psi with reheating below its mass is collider- and relic-safe in the conservative benchmark.,PASS conditionally,Routine cosmological condition,Medium-high,Vectorlike anomaly cancellation and relic-production suppression in v0.5 Section 10,A lower-scale state needs explicit decay operators and dedicated collider/relic analysis.,Specify reheating and decay sectors in a complete cosmological benchmark.
QCD-15,The exact common radial scale mode produces no composition-dependent fifth force when every material mass and the Planck scale co-scale.,PASS in exact-lock limit,Established scale-invariant result; integrated here,High,Einstein-frame cancellation; Ferreira-Hill-Ross arXiv:1612.03157,Any non-universal ratio dependence restores observable scalar charge.,Compute loop-induced violations of exact common scaling in the complete Standard Model plus hidden sector.
QCD-16,"The restricted package of exact lock-defect recursion, one renormalisable misaligned threshold, rank-one clock response, and same-source clock-EP line appears not to have an exact indexed precedent.",OPEN priority claim,Plausibly original conjunction,Medium-low until specialist review,Targeted literature audit recorded in v0.5 Section 12,Equivalent results may exist under different terminology or in non-indexed literature.,"Perform backward/forward citation chasing in INSPIRE, journals and specialist consultations before submission."
